sourceTaxonId	sourceTaxonName	interactionTypeId	interactionTypeName	targetTaxonId	targetTaxonName	localityId	localityName	decimalLatitude	decimalLongitude	observationDateTime	referenceDoi	referenceCitation
EOL:328608			RO:0002470	EOL:791056								Encyclopedia of Life L+E Group. 2015. Unknown source.
EOL:313534			RO:0002470	EOL:740666								Encyclopedia of Life L+E Group. 2015. Unknown source.
EOL:328609			RO:0002470	EOL:1240422								Encyclopedia of Life L+E Group. 2015. Unknown source.
EOL:1049164			RO:0002470	EOL:1240422								Encyclopedia of Life L+E Group. 2015. Unknown source.
EOL:740666			RO:0002470	EOL:976910								Encyclopedia of Life L+E Group. 2015. Unknown source.
EOL:172859			RO:0002470	EOL:583120								Encyclopedia of Life L+E Group. 2015. Unknown source.
EOL:328598			RO:0002470	EOL:313161								Encyclopedia of Life L+E Group. 2015. Unknown source.
EOL:313161			RO:0002470	EOL:1056566								Encyclopedia of Life L+E Group. 2015. Unknown source.
EOL:328609			RO:0002470	EOL:976910								Encyclopedia of Life L+E Group. 2015. Unknown source.
EOL:687787			RO:0002470	EOL:172859								Encyclopedia of Life L+E Group. 2015. Unknown source.
EOL:328598			RO:0002470	EOL:1056566								Encyclopedia of Life L+E Group. 2015. Unknown source.
EOL:313534			RO:0002470	EOL:172859								Encyclopedia of Life L+E Group. 2015. Unknown source.
EOL:976910			RO:0002470	EOL:1114722								Encyclopedia of Life L+E Group. 2015. Unknown source.
EOL:1240422			RO:0002470	EOL:1114722								Encyclopedia of Life L+E Group. 2015. Unknown source.
EOL:1052592			RO:0002470	EOL:1114722								Encyclopedia of Life L+E Group. 2015. Unknown source.
EOL:1240422			RO:0002470	EOL:595947								Encyclopedia of Life L+E Group. 2015. Unknown source.
EOL:976910			RO:0002470	EOL:595947								Encyclopedia of Life L+E Group. 2015. Unknown source.
EOL:976910			RO:0002470	EOL:1082563								Encyclopedia of Life L+E Group. 2015. Unknown source.
EOL:328501			RO:0002470	EOL:1082563								Encyclopedia of Life L+E Group. 2015. Unknown source.
EOL:328598			RO:0002470	EOL:1082563								Encyclopedia of Life L+E Group. 2015. Unknown source.
EOL:328501			RO:0002470	EOL:1154991								Encyclopedia of Life L+E Group. 2015. Unknown source.
EOL:1240422			RO:0002470	EOL:1151588								Encyclopedia of Life L+E Group. 2015. Unknown source.
EOL:328598			RO:0002470	EOL:1151588								Encyclopedia of Life L+E Group. 2015. Unknown source.
EOL:328501			RO:0002470	EOL:1151588								Encyclopedia of Life L+E Group. 2015. Unknown source.
EOL:976910			RO:0002470	EOL:1151588								Encyclopedia of Life L+E Group. 2015. Unknown source.
EOL:328609			RO:0002470	EOL:1151588								Encyclopedia of Life L+E Group. 2015. Unknown source.
EOL:328609			RO:0002470	EOL:1130738								Encyclopedia of Life L+E Group. 2015. Unknown source.
EOL:328598			RO:0002470	EOL:1130738								Encyclopedia of Life L+E Group. 2015. Unknown source.
EOL:1049164			RO:0002470	EOL:1265644								Encyclopedia of Life L+E Group. 2015. Unknown source.
EOL:1049164			RO:0002470	EOL:1178552								Encyclopedia of Life L+E Group. 2015. Unknown source.
EOL:1049164			RO:0002470	EOL:1049727								Encyclopedia of Life L+E Group. 2015. Unknown source.
EOL:1049164			RO:0002470	EOL:328441								Encyclopedia of Life L+E Group. 2015. Unknown source.
EOL:1049164			RO:0002470	EOL:1052592								Encyclopedia of Life L+E Group. 2015. Unknown source.
EOL:1049164			RO:0002470	EOL:976910								Encyclopedia of Life L+E Group. 2015. Unknown source.
EOL:328609			RO:0002470	EOL:1178552								Encyclopedia of Life L+E Group. 2015. Unknown source.
EOL:328598			RO:0002470	EOL:1178552								Encyclopedia of Life L+E Group. 2015. Unknown source.
EOL:1052592			RO:0002470	EOL:1115149								Encyclopedia of Life L+E Group. 2015. Unknown source.
EOL:1052592			RO:0002470	EOL:1114470								Encyclopedia of Life L+E Group. 2015. Unknown source.
EOL:328609			RO:0002470	EOL:1056566								Encyclopedia of Life L+E Group. 2015. Unknown source.
EOL:328501			RO:0002470	EOL:1056566								Encyclopedia of Life L+E Group. 2015. Unknown source.
EOL:1177474			RO:0002470	EOL:1265644								Encyclopedia of Life L+E Group. 2015. Unknown source.
EOL:1177474			RO:0002470	EOL:454546								Encyclopedia of Life L+E Group. 2015. Unknown source.
EOL:1177474			RO:0002470	EOL:1178552								Encyclopedia of Life L+E Group. 2015. Unknown source.
EOL:1177474			RO:0002470	EOL:1049727								Encyclopedia of Life L+E Group. 2015. Unknown source.
EOL:1177474			RO:0002470	EOL:313161								Encyclopedia of Life L+E Group. 2015. Unknown source.
EOL:1177474			RO:0002470	EOL:1056566								Encyclopedia of Life L+E Group. 2015. Unknown source.
EOL:1177474			RO:0002470	EOL:815711								Encyclopedia of Life L+E Group. 2015. Unknown source.
EOL:313161			RO:0002470	EOL:815711								Encyclopedia of Life L+E Group. 2015. Unknown source.
EOL:313161			RO:0002470	EOL:454546								Encyclopedia of Life L+E Group. 2015. Unknown source.
EOL:1177474			RO:0002470	EOL:1082563								Encyclopedia of Life L+E Group. 2015. Unknown source.
EOL:795350			RO:0002470	EOL:738535								Encyclopedia of Life L+E Group. 2015. Unknown source.
EOL:795350			RO:0002470	EOL:3817123								Encyclopedia of Life L+E Group. 2015. Unknown source.
EOL:795350			RO:0002470	EOL:172859								Encyclopedia of Life L+E Group. 2015. Unknown source.
EOL:328609			RO:0002470	EOL:1049164								Encyclopedia of Life L+E Group. 2015. Unknown source.
EOL:313534			RO:0002470	EOL:738535								Encyclopedia of Life L+E Group. 2015. Unknown source.
EOL:1240422			RO:0002470	EOL:468857								Encyclopedia of Life L+E Group. 2015. Unknown source.
EOL:3817123			RO:0002470	EOL:21826983								Encyclopedia of Life L+E Group. 2015. Unknown source.
EOL:795350			RO:0002470	EOL:289906								Encyclopedia of Life L+E Group. 2015. Unknown source.
EOL:1052592			RO:0002470	EOL:289906								Encyclopedia of Life L+E Group. 2015. Unknown source.
EOL:328609			RO:0002470	EOL:328501								Encyclopedia of Life L+E Group. 2015. Unknown source.
EOL:328609			RO:0002470	EOL:328598								Encyclopedia of Life L+E Group. 2015. Unknown source.
EOL:1052592			RO:0002470	EOL:3817123								Encyclopedia of Life L+E Group. 2015. Unknown source.
EOL:1052592			RO:0002470	EOL:21826983								Encyclopedia of Life L+E Group. 2015. Unknown source.
EOL:328598			RO:0002470	EOL:289906								Encyclopedia of Life L+E Group. 2015. Unknown source.
EOL:738535			RO:0002470	EOL:976910								Encyclopedia of Life L+E Group. 2015. Unknown source.
EOL:328609			RO:0002470	EOL:328441								Encyclopedia of Life L+E Group. 2015. Unknown source.
EOL:328598			RO:0002470	EOL:328441								Encyclopedia of Life L+E Group. 2015. Unknown source.
EOL:328441			RO:0002470	EOL:1115149								Encyclopedia of Life L+E Group. 2015. Unknown source.
EOL:795350			RO:0002470	EOL:21826983								Encyclopedia of Life L+E Group. 2015. Unknown source.
EOL:1037783			RO:0002470	EOL:583120								Encyclopedia of Life L+E Group. 2015. Unknown source.
EOL:1037783			RO:0002470	EOL:468857								Encyclopedia of Life L+E Group. 2015. Unknown source.
EOL:1037783			RO:0002470	EOL:643055								Encyclopedia of Life L+E Group. 2015. Unknown source.
EOL:1037783			RO:0002470	EOL:1114722								Encyclopedia of Life L+E Group. 2015. Unknown source.
EOL:1037783			RO:0002470	EOL:1115149								Encyclopedia of Life L+E Group. 2015. Unknown source.
EOL:328609			RO:0002470	EOL:1037783								Encyclopedia of Life L+E Group. 2015. Unknown source.
EOL:1049164			RO:0002470	EOL:1037783								Encyclopedia of Life L+E Group. 2015. Unknown source.
EOL:328598			RO:0002470	EOL:313534								Encyclopedia of Life L+E Group. 2015. Unknown source.
